"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\MC_sim_proof_of_conc.py", "Python", -53, 0, 0, -14, -67
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\MC_toy_model_funcs.py", "Python", -60, 0, -3, -15, -78
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\equi_dist_point_cyl_generator.py", "Python", -65, 0, -10, -19, -94
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\open3d_voxelization_test.py", "Python", -13, 0, -1, -2, -16
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\surface_reconstruction.py", "Python", 0, 0, -34, -7, -41
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_book.ipynb", "JSON", 0, -413, 0, -1, -414
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_delauney_triangulation.py", "Python", -60, 0, -19, -19, -98
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_write.py", "Python", -19, 0, 0, -7, -26
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\MC_simulator_convex.py", "Python", -286, 0, -24, -106, -416
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\anatomy_reconstructor_tools.py", "Python", -259, 0, -13, -38, -310
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\biopsy_creator.py", "Python", -210, 0, -98, -100, -408
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", -512, 0, -259, -141, -912
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\biopsy_localization_prototyping.py", "Python", -250, 0, -157, -106, -513
