"filename", "language", "Python", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\MC_sim_proof_of_conc.py", "Python", -53, 0, 0, 0, -14, -67
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\MC_toy_model_funcs.py", "Python", -60, 0, 0, -3, -15, -78
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\equi_dist_point_cyl_generator.py", "Python", -65, 0, 0, -10, -19, -94
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\open3d_voxelization_test.py", "Python", -13, 0, 0, -1, -2, -16
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\surface_reconstruction.py", "Python", 0, 0, 0, -34, -7, -41
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_book.ipynb", "JSON", 0, -1088, 0, 0, -1, -1089
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_delauney_triangulation.py", "Python", -60, 0, 0, -19, -19, -98
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Junk\test_write.py", "Python", -19, 0, 0, 0, -7, -26
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\MC_simulator_convex.py", "Python", -882, 0, 0, -105, -253, -1240
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\Stopwatch_textual.css", "CSS", 0, 0, -26, 0, -5, -31
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\anatomy_reconstructor_tools.py", "Python", -342, 0, 0, -31, -50, -423
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\biopsy_creator.py", "Python", -211, 0, 0, -98, -100, -409
"c:\Users\musca\Documents\UBC\Research\Biopsy localization\biopsylocalization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", -1942, 0, 0, -383, -391, -2716
