"filename", "language", "Python", "CSS", "JSON", "comment", "blank", "total"
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_sim_proof_of_conc.py", "Python", 53, 0, 0, 0, 14, 67
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_toy_model_funcs.py", "Python", 60, 0, 0, 3, 15, 78
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/equi_dist_point_cyl_generator.py", "Python", 65, 0, 0, 10, 19, 94
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/open3d_voxelization_test.py", "Python", 13, 0, 0, 1, 2, 16
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/surface_reconstruction.py", "Python", 0, 0, 0, 34, 7, 41
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_book.ipynb", "JSON", 0, 0, 2388, 0, 1, 2389
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_delauney_triangulation.py", "Python", 60, 0, 0, 19, 19, 98
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_write.py", "Python", 19, 0, 0, 0, 7, 26
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_convex.py", "Python", 1332, 0, 0, 1462, 596, 3390
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Stopwatch_textual.css", "CSS", 0, 26, 0, 0, 5, 31
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/anatomy_reconstructor_tools.py", "Python", 345, 0, 0, 31, 51, 427
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_creator.py", "Python", 308, 0, 0, 125, 157, 590
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_convex_main.py", "Python", 4178, 0, 0, 1001, 1449, 6628
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_prototyping.py", "Python", 250, 0, 0, 157, 106, 513
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_optimizer.py", "Python", 365, 0, 0, 109, 153, 627
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_transporter.py", "Python", 49, 0, 0, 6, 12, 67
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/centroid_finder.py", "Python", 22, 0, 0, 0, 12, 34
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/csv_writers.py", "Python", 456, 0, 0, 37, 121, 614
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/cupy_functions.py", "Python", 103, 0, 0, 28, 51, 182
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dataframe_builders.py", "Python", 1181, 0, 0, 207, 495, 1883
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dosimetric_localizer.py", "Python", 46, 0, 0, 6, 17, 69
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova.py", "Python", 962, 0, 0, 357, 304, 1623
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova_mathfuncs.py", "Python", 60, 0, 0, 0, 27, 87
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/kD_data_tree_class.py", "Python", 65, 0, 0, 4, 14, 83
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/loading_tools.py", "Python", 53, 0, 0, 9, 12, 74
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/machina_learning.py", "Python", 69, 0, 0, 34, 25, 128
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/math_funcs.py", "Python", 211, 0, 0, 62, 60, 333
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/meshing_tools.py", "Python", 45, 0, 0, 3, 5, 53
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/misc_tools.py", "Python", 472, 0, 0, 173, 246, 891
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/my-lib/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/patient_sample_analyser.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/pca.py", "Python", 13, 0, 0, 2, 4, 19
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/plotting_funcs.py", "Python", 581, 0, 0, 25, 148, 754
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/point_containment_tools.py", "Python", 885, 0, 0, 131, 275, 1291
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/production_plots.py", "Python", 3790, 0, 0, 638, 988, 5416
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/pysimplegui_demo.py", "Python", 67, 0, 0, 3, 13, 83
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/ques_funcs.py", "Python", 46, 0, 0, 13, 7, 66
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/rich_preambles.py", "Python", 179, 0, 0, 25, 36, 240
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/stopwatch_textual.py", "Python", 68, 0, 0, 15, 24, 107
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_code.ipynb", "JSON", 0, 0, 14018, 0, 1, 14019
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_textual.py", "Python", 9, 0, 0, 0, 3, 12
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_file_writer.py", "Python", 157, 0, 0, 10, 41, 208
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_processor.py", "Python", 2, 0, 0, 0, 1, 3
"Total", "-", 16639, 26, 16406, 4740, 5545, 43356
