Date : 2025-10-24 15:11:01
Directory : /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based
Total : 117 files,  20735 codes, 3585 comments, 2182 blanks, all 26502 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          7 |     15,110 |          0 |          0 |     15,110 |
| Python   |        104 |      5,515 |      3,585 |      2,156 |     11,256 |
| Markdown |          4 |        110 |          0 |         26 |        136 |
| PostCSS  |          1 |         26 |          0 |          5 |         31 |
| CSS      |          1 |        -26 |          0 |         -5 |        -31 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |        117 |     20,735 |      3,585 |      2,182 |     26,502 |
| . (Files)                                                                                                                                                                   |         52 |     87,464 |     11,430 |     11,158 |    110,052 |
| ..                                                                                                                                                                          |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../..                                                                                                                                                                       |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../..                                                                                                                                                                    |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../..                                                                                                                                                                 |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../..                                                                                                                                                              |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../..                                                                                                                                                           |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm                                                                                                                                                       |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents                                                                                                                                             |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC                                                                                                                                         |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC/Research                                                                                                                                |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new                                                                                                         |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python                                                                               |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based                                                   |         51 |    -69,498 |     -7,912 |     -9,087 |    -86,497 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based (Files)                                           |         42 |    -66,840 |     -7,845 |     -9,002 |    -83,687 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk                                              |          8 |     -2,658 |        -67 |        -84 |     -2,809 |
| ../../../../../../mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/my-lib                                            |          1 |          0 |          0 |         -1 |         -1 |
| .VSCodeCounter                                                                                                                                                              |          5 |        111 |          0 |         26 |        137 |
| .VSCodeCounter/2025-09-23_10-48-55                                                                                                                                          |          5 |        111 |          0 |         26 |        137 |
| Junk                                                                                                                                                                        |          8 |      2,658 |         67 |         84 |      2,809 |
| my-lib                                                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/details.md                             | Markdown |         70 |          0 |          6 |         76 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/diff-details.md                        | Markdown |          9 |          0 |          6 |         15 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/diff.md                                | Markdown |         12 |          0 |          7 |         19 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/results.json                           | JSON     |          1 |          0 |          0 |          1 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/results.md                             | Markdown |         19 |          0 |          7 |         26 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_sim_proof_of_conc.py                                              | Python   |         53 |          0 |         14 |         67 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_toy_model_funcs.py                                                | Python   |         60 |          3 |         15 |         78 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/equi_dist_point_cyl_generator.py                                     | Python   |         65 |         10 |         19 |         94 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/open3d_voxelization_test.py                                          | Python   |         13 |          1 |          2 |         16 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/surface_reconstruction.py                                            | Python   |          0 |         34 |          7 |         41 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_book.ipynb                                                      | JSON     |      2,388 |          0 |          1 |      2,389 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_delauney_triangulation.py                                       | Python   |         60 |         19 |         19 |         98 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_write.py                                                        | Python   |         19 |          0 |          7 |         26 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_prepper_funcs.py                                                       | Python   |        376 |        280 |        211 |        867 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_MR.py                                                        | Python   |        139 |         32 |         61 |        232 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_convex.py                                                    | Python   |      1,603 |      2,552 |        868 |      5,023 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/RenderOption_2025-08-14-01-47-25.json                                     | JSON     |         41 |          0 |          0 |         41 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/ScreenCamera_2025-08-14-01-47-25.json                                     | JSON     |         41 |          0 |          0 |         41 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Stopwatch_textual.css                                                     | PostCSS  |         26 |          0 |          5 |         31 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/advanced_guidance_map_creator.py                                          | Python   |      1,523 |        637 |        527 |      2,687 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/anatomy_reconstructor_tools.py                                            | Python   |        345 |         31 |         51 |        427 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/baysian_inference_demo.py                                                 | Python   |         49 |          8 |         15 |         72 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_creator.py                                                         | Python   |        308 |        125 |        157 |        590 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_convex_main.py                                        | Python   |      6,770 |      2,344 |      2,512 |     11,626 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_prototyping.py                                        | Python   |        250 |        157 |        106 |        513 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_optimizer.py                                                       | Python   |        450 |        250 |        194 |        894 |
