[Thread 0] ✅ Checking Point (2.526066, 2.078973) -> ring_start=0, ring_end=32, Inside=0, Case=1
[Thread 1] ✅ Checking Point (2.078973, 2.524011) -> ring_start=32, ring_end=64, Inside=0, Case=1
[Thread 2] ✅ Checking Point (2.524011, 2.212268) -> ring_start=64, ring_end=96, Inside=0, Case=1
[Thread 3] ✅ Checking Point (2.212268, 0.234641) -> ring_start=96, ring_end=128, Inside=0, Case=0
[Thread 4] ✅ Checking Point (0.234641, 0.134017) -> ring_start=128, ring_end=160, Inside=0, Case=1
[Thread 5] ✅ Checking Point (0.134017, 2.051571) -> ring_start=160, ring_end=192, Inside=0, Case=0
[Thread 6] ✅ Checking Point (2.051571, 2.923757) -> ring_start=192, ring_end=224, Inside=1, Case=1
[Thread 7] ✅ Checking Point (2.923757, 2.259284) -> ring_start=224, ring_end=256, Inside=0, Case=0
[Thread 8] ✅ Checking Point (2.259284, 1.331546) -> ring_start=256, ring_end=288, Inside=0, Case=1
[Thread 9] ✅ Checking Point (1.331546, 2.391771) -> ring_start=288, ring_end=320, Inside=0, Case=1
[Thread 10] ✅ Checking Point (2.391771, 2.867701) -> ring_start=320, ring_end=352, Inside=1, Case=1
[Thread 11] ✅ Checking Point (2.867701, 0.425508) -> ring_start=352, ring_end=384, Inside=0, Case=0
[Thread 12] ✅ Checking Point (0.425508, 0.149161) -> ring_start=384, ring_end=416, Inside=0, Case=1
[Thread 13] ✅ Checking Point (0.149161, 1.751298) -> ring_start=416, ring_end=448, Inside=1, Case=1
[Thread 14] ✅ Checking Point (1.751298, 1.494046) -> ring_start=448, ring_end=480, Inside=0, Case=1
[Thread 15] ✅ Checking Point (1.494046, 0.832936) -> ring_start=480, ring_end=512, Inside=0, Case=0
[Thread 16] ✅ Checking Point (0.832936, 2.957451) -> ring_start=512, ring_end=544, Inside=1, Case=1
[Thread 17] ✅ Checking Point (2.957451, 0.277219) -> ring_start=544, ring_end=576, Inside=0, Case=0
[Thread 18] ✅ Checking Point (0.277219, 2.338664) -> ring_start=576, ring_end=608, Inside=1, Case=1
[Thread 19] ✅ Checking Point (2.338664, 0.323060) -> ring_start=608, ring_end=640, Inside=0, Case=0
[Thread 20] ✅ Checking Point (0.323060, 1.761473) -> ring_start=640, ring_end=672, Inside=1, Case=1
[Thread 21] ✅ Checking Point (1.761473, 2.539864) -> ring_start=672, ring_end=704, Inside=0, Case=0
[Thread 22] ✅ Checking Point (2.539864, 0.800932) -> ring_start=704, ring_end=736, Inside=0, Case=1
[Thread 23] ✅ Checking Point (0.800932, 1.998213) -> ring_start=736, ring_end=768, Inside=0, Case=1
[Thread 24] ✅ Checking Point (1.998213, 0.412089) -> ring_start=768, ring_end=800, Inside=0, Case=1
[Thread 25] ✅ Checking Point (0.412089, 0.930825) -> ring_start=800, ring_end=832, Inside=0, Case=1
[Thread 26] ✅ Checking Point (0.930825, 1.360089) -> ring_start=832, ring_end=864, Inside=1, Case=1
[Thread 27] ✅ Checking Point (1.360089, 1.571553) -> ring_start=864, ring_end=896, Inside=0, Case=0
[Thread 28] ✅ Checking Point (1.571553, 2.951447) -> ring_start=896, ring_end=928, Inside=1, Case=1
[Thread 29] ✅ Checking Point (2.951447, 1.461696) -> ring_start=928, ring_end=960, Inside=0, Case=0
[Thread 30] ✅ Checking Point (1.461696, 1.550672) -> ring_start=960, ring_end=992, Inside=1, Case=1
[Thread 31] ✅ Checking Point (1.550672, 0.633478) -> ring_start=992, ring_end=1024, Inside=0, Case=0
[Thread 32] ✅ Checking Point (0.633478, 1.447719) -> ring_start=1024, ring_end=1056, Inside=1, Case=1
[Thread 33] ✅ Checking Point (1.447719, 0.713417) -> ring_start=1056, ring_end=1088, Inside=0, Case=0
[Thread 34] ✅ Checking Point (0.713417, 2.157963) -> ring_start=1088, ring_end=1120, Inside=1, Case=1
[Thread 35] ✅ Checking Point (2.157963, 2.001321) -> ring_start=1120, ring_end=1152, Inside=0, Case=0
[Thread 36] ✅ Checking Point (2.001321, 0.908890) -> ring_start=1152, ring_end=1184, Inside=0, Case=1
[Thread 37] ✅ Checking Point (0.908890, 2.041462) -> ring_start=1184, ring_end=1216, Inside=0, Case=1
[Thread 38] ✅ Checking Point (2.041462, 2.507446) -> ring_start=1216, ring_end=1248, Inside=1, Case=1
[Thread 39] ✅ Checking Point (2.507446, 0.855000) -> ring_start=1248, ring_end=1280, Inside=0, Case=0
[Thread 40] ✅ Checking Point (0.855000, 0.773624) -> ring_start=1280, ring_end=1312, Inside=1, Case=1
[Thread 41] ✅ Checking Point (0.773624, 0.269064) -> ring_start=1312, ring_end=1344, Inside=0, Case=0
[Thread 42] ✅ Checking Point (0.269064, 0.682374) -> ring_start=1344, ring_end=1376, Inside=1, Case=1
[Thread 43] ✅ Checking Point (0.682374, 1.531824) -> ring_start=1376, ring_end=1408, Inside=0, Case=0
[Thread 44] ✅ Checking Point (1.531824, 0.461883) -> ring_start=1408, ring_end=1440, Inside=0, Case=1
[Thread 45] ✅ Checking Point (0.461883, 0.275745) -> ring_start=1440, ring_end=1472, Inside=0, Case=0
[Thread 46] ✅ Checking Point (0.275745, 2.652859) -> ring_start=1472, ring_end=1504, Inside=1, Case=1
[Thread 47] ✅ Checking Point (2.652859, 0.182104) -> ring_start=1504, ring_end=1536, Inside=0, Case=0
[Thread 48] ✅ Checking Point (0.182104, 1.676024) -> ring_start=1536, ring_end=1568, Inside=1, Case=1
[Thread 49] ✅ Checking Point (1.676024, 0.425278) -> ring_start=1568, ring_end=1600, Inside=0, Case=0
[Thread 50] ✅ Checking Point (0.425278, 2.526021) -> ring_start=1600, ring_end=1632, Inside=1, Case=1
[Thread 51] ✅ Checking Point (2.526021, 1.630448) -> ring_start=1632, ring_end=1664, Inside=0, Case=0
[Thread 52] ✅ Checking Point (1.630448, 2.692082) -> ring_start=1664, ring_end=1696, Inside=1, Case=1
[Thread 53] ✅ Checking Point (2.692082, 2.017109) -> ring_start=1696, ring_end=1728, Inside=0, Case=0
[Thread 54] ✅ Checking Point (2.017109, 1.994248) -> ring_start=1728, ring_end=1760, Inside=1, Case=1
[Thread 55] ✅ Checking Point (1.994248, 1.571602) -> ring_start=1760, ring_end=1792, Inside=0, Case=0
[Thread 56] ✅ Checking Point (1.571602, 1.641031) -> ring_start=1792, ring_end=1824, Inside=1, Case=1
[Thread 57] ✅ Checking Point (1.641031, 2.871331) -> ring_start=1824, ring_end=1856, Inside=0, Case=0
[Thread 58] ✅ Checking Point (2.871331, 1.714559) -> ring_start=1856, ring_end=1888, Inside=0, Case=1
[Thread 59] ✅ Checking Point (1.714559, 2.571419) -> ring_start=1888, ring_end=1920, Inside=0, Case=1
[Thread 60] ✅ Checking Point (2.571419, 2.067904) -> ring_start=1920, ring_end=1952, Inside=0, Case=1
[Thread 61] ✅ Checking Point (2.067904, 0.868757) -> ring_start=1952, ring_end=1984, Inside=0, Case=0
[Thread 62] ✅ Checking Point (0.868757, 1.321823) -> ring_start=1984, ring_end=2016, Inside=1, Case=1
[Thread 63] ✅ Checking Point (1.321823, 2.810273) -> ring_start=2016, ring_end=2048, Inside=0, Case=0
[Thread 64] ✅ Checking Point (2.810273, 0.184395) -> ring_start=2048, ring_end=2080, Inside=0, Case=1
[Thread 65] ✅ Checking Point (0.184395, 1.844890) -> ring_start=2080, ring_end=2112, Inside=0, Case=1
[Thread 66] ✅ Checking Point (1.844890, 0.427707) -> ring_start=2112, ring_end=2144, Inside=0, Case=1
[Thread 67] ✅ Checking Point (0.427707, 0.389065) -> ring_start=2144, ring_end=2176, Inside=0, Case=1
[Thread 68] ✅ Checking Point (0.389065, 0.311855) -> ring_start=2176, ring_end=2208, Inside=1, Case=1
[Thread 69] ✅ Checking Point (0.311855, 2.905091) -> ring_start=2208, ring_end=2240, Inside=0, Case=0
[Thread 70] ✅ Checking Point (2.905091, 2.417842) -> ring_start=2240, ring_end=2272, Inside=0, Case=1
[Thread 71] ✅ Checking Point (2.417842, 1.251810) -> ring_start=2272, ring_end=2304, Inside=0, Case=0
[Thread 72] ✅ Checking Point (1.251810, 1.357376) -> ring_start=2304, ring_end=2336, Inside=1, Case=1
[Thread 73] ✅ Checking Point (1.357376, 1.457214) -> ring_start=2336, ring_end=2368, Inside=0, Case=0
[Thread 74] ✅ Checking Point (1.457214, 0.625586) -> ring_start=2368, ring_end=2400, Inside=0, Case=1
[Thread 75] ✅ Checking Point (0.625586, 2.258711) -> ring_start=2400, ring_end=2432, Inside=0, Case=1
[Thread 76] ✅ Checking Point (2.258711, 0.334790) -> ring_start=2432, ring_end=2464, Inside=0, Case=1
[Thread 77] ✅ Checking Point (0.334790, 0.554258) -> ring_start=2464, ring_end=2496, Inside=0, Case=1
[Thread 78] ✅ Checking Point (0.554258, 1.195081) -> ring_start=2496, ring_end=2528, Inside=1, Case=1
[Thread 79] ✅ Checking Point (1.195081, 2.461788) -> ring_start=2528, ring_end=2560, Inside=0, Case=0
